Species Name,Common name,Clade,Order,Family,ID,Accession
Oreocharis arfaki,Tit Berrypecker,Aves,Passeriformes,Paramythiidae,B10K-DU-029-42,VZRR00000000
Machaerirhynchus nigripectus,Black-breasted Boatbill,Aves,Passeriformes,Machaerirhynchidae,B10K-DU-029-43,VZRQ00000000
Malurus elegans,Red-winged Fairywren,Aves,Passeriformes,Maluridae,B10K-DU-029-44,VZRP00000000
Turnix velox,Little Buttonquail,Aves,Charadriiformes,Turnicidae,B10K-DU-029-46,VZTY00000000
Daphoenositta chrysoptera,Varied Sittella,Aves,Passeriformes,Neosittidae,B10K-DU-029-47,VZRO00000000
Dasyornis broadbenti,Rufous Bristlebird,Aves,Passeriformes,Dasyornithidae,B10K-DU-029-49,VZRN00000000
Grantiella picta,Painted Honeyeater,Aves,Passeriformes,Meliphagidae,B10K-DU-029-50,VZRM00000000
Pardalotus punctatus,Spotted Pardalote,Aves,Passeriformes,Pardalotidae,B10K-DU-029-51,VZTX00000000
Origma solitaria,Rock-warbler,Aves,Passeriformes,Acanthizidae,B10K-DU-029-52,VZRL00000000
Climacteris rufus,Rufous Treecreeper,Aves,Passeriformes,Climacteridae,B10K-DU-029-53,VZRZ00000000
Rhynochetos jubatus,Kagu,Aves,Eurypygiformes,Rhynochetidae,B10K-DU-029-58,VZRY00000000
Atrichornis clamosus,Noisy Scrubbird,Aves,Passeriformes,Atrichornithidae,B10K-DU-029-61,WBMZ00000000
Horornis vulcanius,Sunda Bush Warbler,Aves,Passeriformes,Scotocercidae,B10K-DU-029-69,VZUA00000000
Notiomystis cincta,Stitchbird,Aves,Passeriformes,Notiomystidae,B10K-DU-029-75,VZRX00000000
Aegotheles bennettii,Barred Owlet-nightjar,Aves,Caprimulgiformes,Aegothelidae,B10K-DU-029-76,VZRW00000000
Falcunculus frontatus,Eastern Shrike-tit,Aves,Passeriformes,Falcunculidae,B10K-DU-029-77,VZRV00000000
Pedionomus torquatus,Plains-wanderer,Aves,Charadriiformes,Pedionomidae,B10K-DU-029-80,VZRU00000000
Drymodes brunneopygia,Southern Scrub Robin,Aves,Passeriformes,Petroicidae,B10K-DU-030-03,VZTZ00000000
Panurus biarmicus,Bearded Reedling,Aves,Passeriformes,Panuridae,B10K-DU-030-18,VZRT00000000
Mohoua ochrocephala,Yellowhead,Aves,Passeriformes,Mohouidae,B10K-DU-030-22,VZTA00000000
Ibidorhyncha struthersii,Ibisbill,Aves,Charadriiformes,Haematopodidae,B10K-DU-030-25,VZSZ00000000
Sapayoa aenigma,Sapayoa,Aves,Passeriformes,Sapayoidae,B10K-DU-030-41,VZSY00000000
Urocolius indicus,Red-faced Mousebird,Aves,Coliiformes,Coliidae,B10K-DU-030-59,WBNH00000000
Elachura formosa,Elachura,Aves,Passeriformes,Timaliidae,B10K-Elachura-formosa,WBNG00000000
Eudromia elegans,Elegant Crested Tinamou,Aves,Tinamiformes,Tinamidae,B10K-Eudromia-elegans,VZSX00000000
Pteruthius melanotis,Black-eared Shrike-babbler,Aves,Passeriformes,Vireonidae,B10K-IZ-033-77,WEIY00000000
