ID	clade	Order	Family	Tree.name	Order.spes	Latin.name
Myanophis_thanlyinensis	Reptilia	Squamata	Homalopsidae	Myanophis_thanlyinensis	Myanophis_thanlyinensis	Myanophis_thanlyinensis
Pogona_vitticeps	Reptilia	Squamata	Agamidae	Pogona_vitticeps	Pogona_vitticeps	Pogona_vitticeps
Pseudonaja_textilis	Reptilia	Squamata	Elapidae	Pseudonaja_textilis	Pseudonaja_textilis	Pseudonaja_textilis
Python_bivittatus	Reptilia	Squamata	Pythonidae	Python_bivittatus	Python_bivittatus	Python_bivittatus
Sceloporus_undulatus	Reptilia	Squamata	Phrynosomatidae	Sceloporus_undulatus	Sceloporus_undulatus	Sceloporus_undulatus
Thamnophis_sirtalis	Reptilia	Squamata	Colubridae	Thamnophis_sirtalis	Thamnophis_sirtalis	Thamnophis_sirtalis
Zootoca_vivipara	Reptilia	Squamata	Lacertidae	Zootoca_vivipara	Zootoca_vivipara	Zootoca_vivipara
Chelonia_mydas	Reptilia	Testudines	Cheloniidae	Chelonia_mydas	Chelonia_mydas	Chelonia_mydas
Chelydra_serpentina	Reptilia	Testudines	Chelydridae	Chelydra_serpentina	Chelydra_serpentina	Chelydra_serpentina
Dermochelys_coriacea	Reptilia	Testudines	Dermatemydidae	Dermochelys_coriacea	Dermochelys_coriacea	Dermochelys_coriacea
Gopherus_evgoodei	Reptilia	Testudines	Testudinidae	Gopherus_evgoodei	Gopherus_evgoodei	Gopherus_evgoodei
Mauremys_reevesii	Reptilia	Testudines	Geoemydidae	Mauremys_reevesii	Mauremys_reevesii	Mauremys_reevesii
Pelodiscus_sinensis	Reptilia	Testudines	Trionychidae	Pelodiscus_sinensis	Pelodiscus_sinensis	Pelodiscus_sinensis
Platysternon_megacephalum	Reptilia	Testudines	Platysternidae	Platysternon_megacephalum	Platysternon_megacephalum	Platysternon_megacephalum
Trachemys_scripta	Reptilia	Testudines	Emydidae	Trachemys_scripta	Trachemys_scripta	Trachemys_scripta
