"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","significant","diffexpressed","ERVK_related"
"TAEGUT_R17219",1009.20438490277,-1.77699236028776,0.340909946983179,-5.21249783414339,1.86314744213982e-07,1.31121579396644e-06,"TAEGUT_R17219","significant","DOWN",NA
"TAEGUT_R17218",18.8557274923841,-0.364374088226121,1.31493639367586,-0.27710396485987,0.781700277476121,0.850558403241931,"TAEGUT_R17218","NS.",NA,NA
"TAEGUT_R12500",40.5746205981408,1.70036232960186,0.883188982862894,1.92525310278448,0.054197701594343,0.1036664892997,"TAEGUT_R12500","NS.",NA,NA
"TAEGUT_R10269",0.617419866964609,2.36054004653459,2.95831868465706,0.797932980911498,0.424909382979091,0.551505284923247,"TAEGUT_R10269","NS.",NA,NA
"TAEGUT_R10268",3626.1498191315,0.536889181709245,0.26256328929447,2.04479911548912,0.0408746670128286,0.0816209453741668,"TAEGUT_R10268","NS.",NA,NA
"TAEGUT_R10263",1.20385890537123,3.30025413457564,1.12482182383493,2.9340239179605,0.00334598423338707,0.00922576424738443,"TAEGUT_R10263","significant","UP",NA
"TAEGUT_R10262",18.7083672297359,3.58634647168283,0.506651340630026,7.07852952135322,1.45692091740796e-12,2.88839872523956e-11,"TAEGUT_R10262","significant","UP",NA
"TAEGUT_R10261",18.8830404619703,1.39758953018015,0.585623611337714,2.3864979196923,0.0170097036040247,0.0383407601151501,"TAEGUT_R10261","significant","UP",NA
"TAEGUT_R10260",923.010715325557,0.501396874401723,0.290177448930879,1.72789745119427,0.0840066113812204,0.150297757247902,"TAEGUT_R10260","NS.",NA,NA
"TAEGUT_R10267",3428.32341788264,0.0984528838584671,0.209491559065497,0.469961101524315,0.638382808860403,0.740757610444735,"TAEGUT_R10267","NS.",NA,NA
"TAEGUT_R10266",0.649538621305788,2.42414888732187,1.96455166491235,1.23394509323328,0.217223364843768,0.327016449283832,"TAEGUT_R10266","NS.",NA,NA
"TAEGUT_R10265",74.673795555604,0.3760468004692,0.562848753713131,0.668113410553737,0.504061202125236,0.625631605293017,"TAEGUT_R10265","NS.",NA,NA
"TAEGUT_R10264",0.53302099032117,2.08645091919158,1.29374002036823,1.61272812647299,0.106803587076092,0.183559341508086,"TAEGUT_R10264","NS.",NA,NA
"TAEGUT_R12818",137.004587939221,1.14707346148348,0.56229057950776,2.04000120807226,0.0413502054080797,0.0824324362436393,"TAEGUT_R12818","NS.",NA,NA
"TAEGUT_R07221",8.59200459659596,0.984884399621606,0.875231264945694,1.12528475509009,0.260468387694102,0.378372540947666,"TAEGUT_R07221","NS.",NA,NA
"TAEGUT_R14422",536.142260000116,0.366836885449075,0.319094326723916,1.14961895191094,0.250300848905534,0.366365141237632,"TAEGUT_R14422","NS.",NA,NA
"TAEGUT_R09345",619.422690474401,-3.58281784875739,0.549343058263369,-6.52200441029273,6.93739747707563e-11,9.80039866859728e-10,"TAEGUT_R09345","significant","DOWN",NA
"TAEGUT_R12501",48.1534762278226,2.31589718589279,0.876683883407307,2.64165593747641,0.00825018187259058,0.020426777706614,"TAEGUT_R12501","significant","UP",NA
"TAEGUT_R15842",22.0357901950973,-1.11182765905568,0.92360572390549,-1.2037903515304,0.228670619855319,0.340435097136576,"TAEGUT_R15842","NS.",NA,NA
"TAEGUT_R01028",126.414126813671,-0.443714172618279,0.524005521303829,-0.84677384985225,0.397121186627314,0.52407246549655,"TAEGUT_R01028","NS.",NA,NA
"TAEGUT_R00002",20.6938368625062,0.767631076113906,0.792040436784035,0.96918167364126,0.332454553129437,0.458060324767615,"TAEGUT_R00002","NS.",NA,NA
"TAEGUT_R07443",6189.01233423773,0.797410776868824,0.669392097873922,1.19124617604765,0.233556956889338,0.346133987240148,"TAEGUT_R07443","NS.",NA,NA
"TAEGUT_R05690",6.09231842764731,2.29631771390369,0.882141884703748,2.60311606751885,0.00923806727222081,0.0225391350922087,"TAEGUT_R05690","significant","UP",NA
