"","PGC_SRR11924447","PGC_SRR11924448","PGC_SRR11924449","PGC_SRR11924450","PGC_SRR11924451","PGC_SRR11924452","PGC_SRR11924453","PGC_SRR11924454","Testis_SRR2299402","Testis_SRR2299403","Testis_SRR2299404","Testis_SRR8551567","Testis_SRR8695301","Ovary_SRR8551565","Blood_SRR6761851","Blood_SRR6761852","Blood_SRR6761853","Blood_SRR6761854","Blood_SRR6761855","Blood_SRR6761856","Blood_SRR6761867","Blood_SRR6761868","Blood_SRR6761869","Blood_SRR6761870","Brian_SRR3208120","Brian_SRR3208121","Brian_SRR3208122","Muscle_SRR8551561","Muscle_SRR8695298","Spleen_SRR5001848","Spleen_SRR5001850","Spleen_SRR5001851"
"TAEGUT_R09025",1.9789959158589,1.44269046154792,8.91070161103158,0.469636539082122,0,0.720653804961438,0.596800666859673,0,0,2.61366168966509,6.85958190705576,2.37974193043466,2.37974193043466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R14590",21.768955074448,9.3774880000615,68.3153790179088,13.1498230942994,4.64882515609577,11.530460879383,2.98400333429837,5.70743334347888,4.16536237042178,8.49440049141154,16.0056911164634,3.56961289565199,3.56961289565199,1.14907933761346,0,0,2.0835508383518,0,0,2.75364854368876,0,0,0,0,0,4.34031832244214,6.22430052756464,0,0,0,0,0.45047096787421
"TAEGUT_R10332",5.93698774757671,2.16403569232188,4.45535080551579,0.939273078164243,0.581103144511971,1.44130760992288,0.596800666859673,0,3.33228989633742,1.30683084483255,1.14326365117596,1.18987096521733,1.18987096521733,2.68118512109807,2.11970981383865,0,2.0835508383518,6.10601628099151,0,0,0,0,0,0,1.82953724909336,0,0,0,0,0.823814102090912,0.424560800715047,5.85612258236473
"TAEGUT_R02759",5.93698774757671,2.88538092309585,25.2469878979228,9.86236732072455,12.7842691792634,5.04457663473007,4.17760466801771,1.26831852077308,6.66457979267485,1.30683084483255,5.7163182558798,3.96623655072443,3.96623655072443,1.14907933761346,0,0,81.25848269572,3.05300814049576,0,5.50729708737752,27.9901124969235,8.28088657216534,0,68.5946850958093,0,0.868063664488428,2.07476684252154,0,0,0,1.27368240214514,2.25235483937105
"TAEGUT_R17903",37.6009224013192,23.8043926155407,120.294471748926,8.45345770347819,4.0677220115838,7.20653804961438,10.7424120034741,2.53663704154617,1.66614494816871,1.30683084483255,0,0.396623655072443,0.396623655072443,1.53210578348461,0,0,0,0,0,5.50729708737752,0,0,0,0,0,0,0,0,0,0,0.849121601430093,0
"TAEGUT_R17904",17.8109632427301,11.5415236923834,44.5535080551579,7.04454808623182,3.48661886707183,4.32392282976863,1.19360133371935,0.634159260386542,0.833072474084356,1.96024626724882,0,0.793247310144886,0.793247310144886,2.68118512109807,2.11970981383865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R15629",13.8529714110123,15.1482498462532,47.5237419255018,6.10527500806758,4.64882515609577,4.32392282976863,3.58080400115804,1.26831852077308,2.49921742225307,5.22732337933018,18.2922184188154,8.32909675652131,8.32909675652131,10.7247404843923,6.35912944151595,0,0,3.05300814049576,0,0,0,0,0,0,0.914768624546682,0.868063664488428,2.07476684252154,5.13621528606209,5.13589958509394,6.59051281672729,2.12280400357523,7.20753548598735
"TAEGUT_R06765",16.4916326321575,16.5909403078011,80.1963144992842,7.04454808623182,10.4598566012155,5.7652304396915,12.5328140040531,6.34159260386542,11.663014637181,12.4148930259092,14.8624274652875,12.6919569623182,12.6919569623182,4.97934379632498,0,0,0,3.05300814049576,8.81145565584839,8.26094563106628,0,0,0,0,3.65907449818673,3.47225465795371,1.03738342126077,0,0,2.47144230627273,0.849121601430093,9.91036129323261
"TAEGUT_R01351",25.7269469061658,15.8695950770272,46.0386249903298,5.63563846898546,2.90551572255986,7.20653804961438,2.98400333429837,0.634159260386542,0.833072474084356,0.653415422416273,0.57163182558798,1.58649462028977,1.58649462028977,3.06421156696922,2.11970981383865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R02713",1.3193306105726,0,13.3660524165474,0.939273078164243,4.0677220115838,1.44130760992288,2.38720266743869,0.634159260386542,3.33228989633742,0.653415422416273,2.28652730235192,8.72572041159375,8.72572041159375,5.74539668806728,6.35912944151595,0,0,0,2.9371518852828,0,0,0,3.92136372735094,0,0,0,0,1.92608073227329,1.92596234441023,3.29525640836365,1.69824320286019,8.55894838960998
"TAEGUT_R18432",6.59665305286302,0,14.8511693517193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50729708737752,0,0,0,8.57433563697617,0,0,0,0,0,0,0,0
"TAEGUT_R06769",0,0,8.91070161103158,3.75709231265697,4.0677220115838,5.04457663473007,0,0,0,0,0,1.18987096521733,1.18987096521733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R11922",9.89497957929452,6.49210707696565,29.7023387034386,3.75709231265697,1.74330943353591,3.60326902480719,0.596800666859673,0.634159260386542,0.833072474084356,0.653415422416273,0,1.18987096521733,1.18987096521733,0.766052891742304,2.11970981383865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
