"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","diffexpressed","ERVK_regulated","name"
"5019","GALGAL_R07286-TAEGUT_R00823",1407.47809148897,0.425502376220775,0.211179791483983,2.01488207385151,0.0439170067033421,0.0625150715612611,"NS.",NA,NA,NA
"5020","GALGAL_R07287-TAEGUT_R00824",3278.1680968075,0.430317569448228,0.233522105158155,1.84272734761787,0.0653688290406568,0.0900562321731935,"NS.",NA,NA,NA
"5021","GALGAL_R07290-TAEGUT_R00951",405.094132273914,-0.280850600114568,0.189558119125693,-1.48160680961568,0.138444946060174,0.17836929472584,"NS.",NA,NA,NA
"5022","GALGAL_R07292-TAEGUT_R00852",22.7512713775493,-1.34803281225415,0.415148286574625,-3.24711158843199,0.00116582670929968,0.00207474522548059,"significant","DOWN",NA,NA
"5023","GALGAL_R07296-TAEGUT_R00834",4.27318280742218,-1.13473226341968,0.512102740340181,-2.21582931320753,0.0267031940870148,0.0393288409606327,"significant","DOWN",NA,NA
"5024","GALGAL_R07297-TAEGUT_R04251",2.14860102565006,-2.3394091103981,0.541012067205145,-4.32413480624088,1.53131641454619e-05,3.39799677449207e-05,"significant","DOWN",NA,NA
"5025","GALGAL_R07298-TAEGUT_R04252",53.1365046531188,1.03311443311594,0.250890813576432,4.11778501727092,3.82531286514367e-05,8.1227114811234e-05,"significant","UP",NA,NA
"5026","GALGAL_R07299-TAEGUT_R04253",40.6523421138434,-1.2541449595786,0.217426829500213,-5.76812421200012,8.01587182661995e-09,2.43451743582723e-08,"significant","DOWN",NA,NA
"5027","GALGAL_R07300-TAEGUT_R04255",116.52726608729,6.3280492956184,0.289481506828758,21.8599431961702,6.2521944350097e-106,6.71385200623765e-104,"significant","UP",NA,NA
"5028","GALGAL_R07302-TAEGUT_R04256",264.256374375934,2.31279227150649,0.137811903088768,16.7822388318429,3.29187949757673e-63,1.08469684157138e-61,"significant","UP",NA,NA
"5029","GALGAL_R07303-TAEGUT_R04257",306.192727128509,-0.4141221931479,0.122079216672479,-3.39224156605567,0.000693232932401926,0.0012713498746566,"significant",NA,NA,NA
"5030","GALGAL_R07304-TAEGUT_R04258",3.42382300539037,-1.82005925281056,0.562299465124658,-3.23681483923706,0.00120871811326846,0.00214508672691157,"significant","DOWN",NA,NA
"5031","GALGAL_R07305-TAEGUT_R04259",2.30956093971237,2.14855353913285,0.896152992655392,2.39752983780868,0.0165060365766212,0.0251256931916243,"significant","UP",NA,NA
"5032","GALGAL_R07306-TAEGUT_R00848",0.784513755967062,3.16410398584268,1.21639356343621,2.60121730413005,0.0092893591231963,0.0146541345979383,"significant","UP",NA,NA
"5033","GALGAL_R07307-TAEGUT_R04260",48.0067167607444,0.456642564610859,0.421548501737123,1.08325035607794,0.278697313919848,0.334520219013374,"NS.",NA,NA,NA
"5034","GALGAL_R07308-TAEGUT_R04261",142.738153119996,0.737695774293308,0.0794795756596158,9.28157665879609,1.66988954893927e-20,1.09210231675327e-19,"significant",NA,NA,NA
"5035","GALGAL_R07309-TAEGUT_R00850",20.2139980404044,-1.92293031404195,0.734148790021298,-2.61926511380093,0.00881194343908439,0.0139302370848933,"significant","DOWN",NA,NA
"5036","GALGAL_R07310-TAEGUT_R18363",42.8537853999653,-0.865346207985439,0.236792647589622,-3.65444711562642,0.000257736779677664,0.000497400553463298,"significant",NA,NA,NA
"5037","GALGAL_R07311-TAEGUT_R00851",0.325739139144043,-1.24057162162629,1.43396356754463,-0.865134686615863,0.386964868403942,0.448624105677098,"NS.",NA,NA,NA
"5038","GALGAL_R07313-TAEGUT_R04378",63.2128856227356,-0.337671784405926,0.184958836837946,-1.82565910436483,0.0679016269063715,0.0933210909385133,"NS.",NA,NA,NA
"5039","GALGAL_R07314-TAEGUT_R00854",31.198262494995,-3.0695913554401,0.21610102936108,-14.2044272742041,8.60028939168423e-46,1.63664051445864e-44,"significant","DOWN","ERVK_regulated","CEP70"
"5040","GALGAL_R07315-TAEGUT_R00855",444.745300804536,-0.125137657590517,0.216821964277898,-0.577144746415679,0.563841678877671,0.623799454683263,"NS.",NA,NA,NA
"5041","GALGAL_R07316-TAEGUT_R00856",48.689232138464,2.25315497800385,0.313127965514577,7.19563637282012,6.21701127555054e-13,2.59444811280522e-12,"significant","UP",NA,NA
"5042","GALGAL_R07317-TAEGUT_R00859",128.538447804231,0.321092985894776,0.121647271942145,2.6395411978288,0.00830183322340277,0.0131670680396253,"significant",NA,NA,NA
"5043","GALGAL_R07318-TAEGUT_R00860",79.2764876789233,-0.196948354962387,0.179071828357286,-1.09982880483821,0.271406719393468,0.326813037058995,"NS.",NA,NA,NA
"5044","GALGAL_R07319-TAEGUT_R00861",209.129086485996,0.287298186277342,0.189266477040679,1.51795600979878,0.129025488699832,0.167200684472889,"NS.",NA,NA,NA
"5045","GALGAL_R07320-TAEGUT_R00864",32.8033207594957,1.06240815595589,0.243020944935935,4.37167321621583,1.23297973986671e-05,2.76351981576163e-05,"significant","UP",NA,NA
"5046","GALGAL_R07321-TAEGUT_R00865",154.562108381527,-0.259419166893299,0.103343075893839,-2.51027139118436,0.0120638406347809,0.0187360293536299,"significant",NA,NA,NA
"5047","GALGAL_R07322-TAEGUT_R00797",326.953611335401,1.1791598000639,0.15017616298956,7.85184397170855,4.09964333636775e-15,1.95815768095691e-14,"significant","UP",NA,NA
"5048","GALGAL_R07323-TAEGUT_R00866",31.5483413936303,0.506639590374367,0.177703491126972,2.85103903790143,0.00435766190791036,0.00718333330132099,"significant",NA,NA,NA
"5049","GALGAL_R07324-TAEGUT_R00867",669.182352826818,0.0279205793712659,0.202732958829801,0.1377209681762,0.890460947103465,0.912540372427861,"NS.",NA,NA,NA
"5050","GALGAL_R07325-TAEGUT_R00868",543.802827620536,0.235778025310637,0.139108069794076,1.69492701364962,0.0900892672537114,0.120926742997811,"NS.",NA,NA,NA
"5051","GALGAL_R07326-TAEGUT_R00870",84.9903890405217,0.851833614088425,0.20014611929082,4.25605860911388,2.08062186839751e-05,4.54149531964007e-05,"significant",NA,NA,NA
"5052","GALGAL_R07327-TAEGUT_R00871",165.732843962622,-1.70495553808799,0.239388921818141,-7.12211544769483,1.06282970460575e-12,4.35381002450999e-12,"significant","DOWN",NA,NA
"5053","GALGAL_R07328-TAEGUT_R00872",160.205379664579,1.20317913592711,0.119347810519286,10.0812836925289,6.68470098964639e-24,5.11756198615386e-23,"significant","UP",NA,NA
"5054","GALGAL_R07329-TAEGUT_R00873",217.791631937632,1.00288156463363,0.104465528025893,9.60011961443444,7.98517017283448e-22,5.58683197607215e-21,"significant","UP",NA,NA
"5055","GALGAL_R07330-TAEGUT_R00874",126.707994295531,-0.0158657832035921,0.0780478224160152,-0.203282842652846,0.838913965134758,0.868671395495112,"NS.",NA,NA,NA
"5056","GALGAL_R07331-TAEGUT_R00875",269.161073146169,-0.420707117403122,0.334962856099878,-1.25598140134582,0.209122713332176,0.258783709563338,"NS.",NA,NA,NA
"5057","GALGAL_R07332-TAEGUT_R00876",14.5624883861758,-0.195682493578513,0.208407223718818,-0.938942950665314,0.347760035662624,0.408567934835828,"NS.",NA,NA,NA
"5058","GALGAL_R07334-TAEGUT_R00878",3.33812875016371,2.04914409677891,0.618680013854762,3.31212266582116,0.000925909378274253,0.00167155690370826,"significant","UP",NA,NA
"5059","GALGAL_R07335-TAEGUT_R00879",3.73981504589325,-1.452872986786,0.513642144996584,-2.82857043748943,0.00467564106664537,0.00766652148719072,"significant","DOWN",NA,NA
"5060","GALGAL_R07336-TAEGUT_R00880",36.6584953006587,-0.0169336136442773,0.142634153679523,-0.118720609387318,0.905496708094382,0.925504283865992,"NS.",NA,NA,NA
"5061","GALGAL_R07337-TAEGUT_R00881",774.119982832585,1.14660242750359,0.140047142046194,8.18726045209394,2.67239432196043e-16,1.36595352784608e-15,"significant","UP",NA,NA
"5062","GALGAL_R07340-TAEGUT_R00884",2.78101136287707,2.26474782842901,0.721640601225831,3.13833205141444,0.0016991227500775,0.00295436595564292,"significant","UP",NA,NA
"5063","GALGAL_R07341-TAEGUT_R00885",129.022057490997,0.939065417464015,0.13803966380439,6.80286659343595,1.02557613519338e-11,3.91450465819447e-11,"significant",NA,NA,NA
"5064","GALGAL_R07342-TAEGUT_R00886",153.204022415195,1.47049991443854,0.122410081911151,12.0128987047478,3.03999144327275e-33,3.6745705616323e-32,"significant","UP",NA,NA
"5065","GALGAL_R07343-TAEGUT_R00889",86.7877540186544,-0.448674567262198,0.121686729817453,-3.68712815222556,0.000226799155758889,0.000439953781663251,"significant",NA,NA,NA
"5066","GALGAL_R07344-TAEGUT_R00890",2.03997600050107,-1.40310573310112,0.565472201495941,-2.48129922105674,0.0130904434187828,0.0202285446482976,"significant","DOWN",NA,NA
"5067","GALGAL_R07345-TAEGUT_R00891",29.7652016507332,0.979863915852491,0.229103490205543,4.27694888006025,1.89472290075832e-05,4.15912252736271e-05,"significant",NA,NA,NA
